random_order,id,level,dist_id,district,school,state,county,city,address,zip,cleaned
1063,A1592181,Combined Elem/Sec,Nan,Nan,Montessori Pathways Of New England,RI,Washington,Exeter,567 S COUNTY TRL STE 307,02822,Montessori Pathways Of New England
1064,450390101663,High,4503901.0,Sc Public Charter School District,Oceanside Collegiate Academy,SC,Charleston County,Mt. Pleasant,580 Faison Street,29466,Oceanside Collegiate Academy
1065,450102000124,Elementary,4501020.0,Barnwell 19,Macedonia Elementary-Middle,SC,Barnwell County,Blackville,556 Jones Bridge Road,29817,Macedonia Elementary-Middle School
1066,090438000883,Elementary,904380.0,Stonington School District,West Vine Street School,CT,New London County,Pawcatuck,17 West Vine St.,06379,West Vine Street School
1067,560267000151,High,5602670.0,Fremont County School District # 2,Dubois High School,WY,Fremont County,Dubois,700 N. 1st Street,82513,Dubois High School
1068,080002001913,Elementary,800020.0,State Charter School Institute,Ross Montessori School,CO,Garfield County,Carbondale,109 LEWIES LANE,81623,Ross Montessori School
1069,560103000028,Middle,5601030.0,Carbon County School District #1,Rawlins Middle School,WY,Carbon County,Rawlins,1001 East Brooks Street,82301,Rawlins Middle School
1070,060282013154,High,602820.0,Antelope Valley Union High,Academies Of The Antelope Valley,CA,Los Angeles County,Quartz Hill,6300 W. Ave. L,93536,Academies Of The Antelope Valley
1071,A0110222,Combined Elem/Sec,Nan,Nan,Ambassador Christian Academy,WV,Mingo,Williamson,PO BOX 701,25661,Ambassador Christian Academy
1072,150003000143,Middle,1500030.0,Hawaii Department Of Education,Wahiawa Middle School,HI,Honolulu County,Wahiawa,275 Rose St,96786,Wahiawa Middle School
1073,A1301472,Elementary,Nan,Nan,New Hope School,KY,Logan,Lewisburg,735 L MCREYNOLDS RD,42256,New Hope School
1074,A1702331,Combined Elem/Sec,Nan,Nan,Shodair Children'S Hospital,MT,Lewis And Clark,Helena,PO BOX 5539,59604,Shodair Children'S Hospital
1075,A9502526,Combined Elem/Sec,Nan,Nan,Gulf Oaks Therapeutic Day School,MS,Harrison,Biloxi,180C DEBUYS RD,39531,Gulf Oaks Therapeutic Day School
1076,260016801037,Middle,2600168.0,Chandler Park Academy,Chandler Park Academy  Middle School,MI,Wayne County,Harper Woods,20100 KELLY RD,48225,Chandler Park Academy  Middle School
1077,320000100886,High,3200001.0,State-Sponsored Charter Schools,Leadership Academy Of Nevada,NV,Clark County,Las Vegas,7495 W. Azure Drive #209,89130,Leadership Academy Of Nevada
1078,480000101146,High,4800001.0,Crosbyton Cisd,Crosbyton Secondary,TX,Crosby County,Crosbyton,204 S HARRISON,79322,Crosbyton Secondary
1079,350189000467,Elementary,3501890.0,Moriarty-Edgewood School District,Moriarty Elementary,NM,Torrance County,Moriarty,2015 SCHOOL LOOP,87035,Moriarty Elementary School
1080,420081507308,Middle,4200815.0,Kipp West Philadelphia Preparatory Charter School,Kipp West Philadelphia Preparatory Chart,PA,Philadelphia County,Philadelphia,5900 Baltimore Ave,19143,Kipp West Philadelphia Preparatory Chart
1081,130023404179,Elementary,1300234.0,State Charter Schools- International Charter School Of Atlan,International Charter School Of Atlanta,GA,Fulton County,Roswell,1335 Northmeadow Pkwy Ste 100,30076,International Charter School Of Atlanta
1082,00852532,Combined Elem/Sec,Nan,Nan,Crotched Mountain School,NH,Hillsborough,Greenfield,1 VERNEY DR,03047,Crotched Mountain School
1083,420074900960,High,4200749.0,Evergreen Community Cs,Evergreen Community Cs,PA,Monroe County,Cresco,905 East Grace Ave.,19326,Evergreen Community Cs
1084,A9103527,Elementary,Nan,Nan,Montessori Stepping Stones,MI,Macomb,Mount Clemens,174 CASS AVE,48043,Montessori Stepping Stones
1085,040423001877,Elementary,404230.0,Kyrene Elementary District (4267),Kyrene De La Estrella Elementary School,AZ,Maricopa County,Phoenix,2620 E LIBERTY LN,85048,Kyrene De La Estrella Elementary School
1086,540060000397,High,5400600.0,Kanawha County Schools,George Washington High School,WV,Kanawha County,Charleston,1522 TENNIS CLUB RD,25314,George Washington High School
1087,390451802113,High,3904518.0,Ada Exempted Village,Ada High School,OH,Hardin County,Ada,435 Grand Ave,45810,Ada High School
1088,Bb181070,Elementary,Nan,Nan,Maple Lane School,IN,Adams,Berne,1469 W 200 S,46711,Maple Lane School
1089,450231001244,Middle,4502310.0,Greenville 01,Greer Middle,SC,Greenville County,Greer,3032 East Gap Creek Road,29651,Greer Middle School
1090,482967021347,Middle,4829670.0,Mcallen Isd,De Leon Middle,TX,Hidalgo County,Mcallen,4201 N 29TH ST,78501,De Leon Middle School
1091,120018007904,High,1200180.0,Broward,Andrews High School,FL,Broward County,Pompano Beach,3500 N ANDREWS AVENUE,33064,Andrews High School
1092,191710001947,Elementary,1917100.0,North Cedar Comm School District,North Cedar Lowden Elementary Center,IA,Cedar County,Lowden,703 Park Avenue,52255,North Cedar Lowden Elementary Center
1093,01653343,Combined Elem/Sec,Nan,Nan,Tricounty Academy,MS,Madison,Flora,400 COX FERRY RD,39071,Tricounty Academy
1094,400501005013,High,4005010.0,Boone-Apache,Apache Hs,OK,Caddo County,Apache,101 Pohleman,73006,Apache High School
1095,260025201235,Elementary,2600252.0,Grand Rapids Child Discovery Center,Grand Rapids Child Discovery Center,MI,Kent County,Grand Rapids,409 Lafayette Ave SE,49503,Grand Rapids Child Discovery Center
1096,A1503357,Elementary,Nan,Nan,Niverton School,PA,Somerset,Salisbury,550 NIVERTON RD,15558,Niverton School
1097,01128482,Elementary,Nan,Nan,Mizel Jewish Community Day School,OK,Tulsa,Tulsa,2021 E 71ST ST,74136,Mizel Jewish Community Day School
1098,560406000203,Middle,5604060.0,Lincoln County School District #2,Star Valley Middle School,WY,Lincoln County,Afton,999 Warrior Way,83110,Star Valley Middle School
1099,Bb181281,Combined Elem/Sec,Nan,Nan,Family Christian Academy,LA,East Baton Rouge,Baton Rouge,8919 WORLD MINISTRY AVE,70810,Family Christian Academy
1100,A9105373,Elementary,Nan,Nan,Arbor School Of Arts & Sciences,OR,Clackamas,Tualatin,4201 SW BORLAND RD,97062,Arbor School Of Arts & Sciences
1101,A9501450,Combined Elem/Sec,Nan,Nan,Covenant Christian Academy,GA,Gwinnett,Loganville,3425 LOGANVILLE HWY,30052,Covenant Christian Academy
1102,A0109502,Elementary,Nan,Nan,The Joy School,TX,Harris,Houston,ONE CHELSEA BLVD,77006,The Joy School
1103,490036000261,High,4900360.0,Granite District,Skyline High,UT,Salt Lake County,Salt Lake City,3251 E 3760 S,84109,Skyline High School
1104,A1390337,Combined Elem/Sec,Nan,Nan,Grace Covenant Academy-Frisco,TX,Collin,Frisco,10633 JOHN W ELLIOTT DR,75033,Grace Covenant Academy-Frisco
1105,00426093,Elementary,Nan,Nan,Eight Square School,IN,Elkhart,Middlebury,60517 COUNTY ROAD 35,46540,Eight Square School
1106,01432696,Combined Elem/Sec,Nan,Nan,Roanoke Valley Christian Schools,VA,Roanoke,Roanoke,6520 WILLIAMSON RD,24019,Roanoke Valley Christian Schools
1107,500552000469,Middle,5000402.0,Addison Central Unified School District,Middlebury Union Middle School,VT,Addison County,Middlebury,48 Deerfield Lane,05753,Middlebury Union Middle School
1108,A1592002,Combined Elem/Sec,Nan,Nan,Ellwood Christian Academy,AL,Dallas,Selma,1 BELL RD,36701,Ellwood Christian Academy
1109,069102308230,High,691023.0,Nevada County Office Of Education,John Muir Charter,CA,Nevada County,Grass Valley,117 New Mohawk Dr. Ste. F,95959,John Muir Charter
1110,050006201526,Elementary,500062.0,Kipp Delta Public Schools,Kipp Blytheville College Preparatory School,AR,Mississippi County,Blytheville,1007 S FRANKLIN ST,72315,Kipp Blytheville College Preparatory School
1111,370001702069,Elementary,3700017.0,Francine Delany New School,Francine Delany New School,NC,Buncombe County,Asheville,119 Brevard Road,28806,Francine Delany New School
1112,401272000593,Elementary,4012720.0,Glenpool,Glenpool Es,OK,Tulsa County,Glenpool,461 E 146th St,74033,Glenpool Elementary School
1113,180447002224,Middle,1804470.0,Western School Corporation,Western Intermediate School,IN,Howard County,Russiaville,2600 S 600 W,46979,Western Intermediate School
1114,020057000332,High,200570.0,Nome Public Schools,Nome Youth Facility,AK,Nome Census Area,Nome,4th Ave/K St,99762,Nome Youth Facility
1115,Bb160719,Combined Elem/Sec,Nan,Nan,Oasis Christian Academy,FL,Miami-Dade,Miami,540 NW 165TH ST RD STE 104,33169,Oasis Christian Academy
1116,A0700405,Combined Elem/Sec,Nan,Nan,Kenton Mennonite School,DE,Kent,Clayton,2422 CHANCE RD,19938,Kenton Mennonite School
1117,421899005188,Elementary,4218990.0,Philadelphia City Sd,Wright Richard R Sch,PA,Philadelphia County,Philadelphia,2700 W Dauphin St,19132,Wright Richard R School
1118,00087751,Combined Elem/Sec,Nan,Nan,Liberty Baptist School,CA,Santa Clara,San Jose,2790 S KING RD,95122,Liberty Baptist School
1119,A0500827,Elementary,Nan,Nan,Montessori Academy Of Colorado,CO,Denver,Denver,2500 CURTIS ST,80205,Montessori Academy Of Colorado
1120,130012003992,Middle,1300120.0,Atlanta Public Schools,Kipp Vision,GA,Fulton County,Atlanta,660 McWilliams Rd SE,30315,Kipp Vision
1121,01296913,Combined Elem/Sec,Nan,Nan,First Assembly Christian School,TN,Shelby,Cordova,8650 WALNUT GROVE RD,38018,First Assembly Christian School
1122,02044829,Combined Elem/Sec,Nan,Nan,Rio Grande Christian Academy,NM,Bernalillo,Albuquerque,2121 GUN CLUB RD SW,87105,Rio Grande Christian Academy
1123,280105000122,Elementary,2801050.0,Clarksdale Municipal School Dist,Kirkpatrick  Health /Wellness,MS,Coahoma County,Clarksdale,1101 SMITH STREET,38614,Kirkpatrick  Health /Wellness
1124,090456000915,Middle,904560.0,Tolland School District,Tolland Middle School,CT,Tolland County,Tolland,1 Falcon Way,06084,Tolland Middle School
1125,062334004613,Middle,623340.0,Madera Unified,Martin Luther King Jr. Middle,CA,Madera County,Madera,601 Lilly St.,93638,Martin Luther King Jr. Middle School
1126,381292000424,Elementary,3812920.0,Midway 128,Midway Elementary School,ND,Grand Forks County,Inkster,3202 33rd Ave NE,58233,Midway Elementary School
1127,A1503110,Combined Elem/Sec,Nan,Nan,Spring Mountain Christian Academy,OR,Clackamas,Clackamas,12152 SE MATHER RD,97015,Spring Mountain Christian Academy
1128,02040325,Combined Elem/Sec,Nan,Nan,Lamar School,MS,Lauderdale,Meridian,544 LINDLEY RD,39305,Lamar School
1129,A0103707,Elementary,Nan,Nan,Victory Christian Academy,IA,Warren,Indianola,805 N 1ST ST,50125,Victory Christian Academy
1130,300588000941,Middle,3005880.0,Cascade Elem,Cascade 7-8,MT,Cascade County,Cascade,321 Central Ave W,59421,Cascade 7-8
1131,00868724,Combined Elem/Sec,Nan,Nan,Rutgers Preparatory School,NJ,Somerset,Somerset,1345 EASTON AVE,08873,Rutgers Preparatory School
1132,540060000361,High,5400600.0,Kanawha County Schools,Ben Franklin Career Center,WV,Kanawha County,Dunbar,500 28TH STREET,25064,Ben Franklin Career Center
1133,040087803350,High,400878.0,Basis Charter Schools Inc. (91309),Basis Tucson North,AZ,Pima County,Tucson,5740 E RIVER RD,85750,Basis Tucson North
1134,A9104281,Combined Elem/Sec,Nan,Nan,Archbishop Damiano School,NJ,Gloucester,Westville,1145 DELSEA DR,08093,Archbishop Damiano School
1135,Aa890786,Combined Elem/Sec,Nan,Nan,William Bradford Christian School,OK,Mayes,Pryor,2320 NE 1ST ST,74361,William Bradford Christian School
1136,A9902140,Combined Elem/Sec,Nan,Nan,Aucocisco School,ME,Cumberland,Cape Elizabeth,126 SPURWINK AVE,04107,Aucocisco School
1137,A0109638,Elementary,Nan,Nan,A World Of Children,VA,Chesapeake,Chesapeake,752 CEDAR RD,23322,A World Of Children
1138,240009001428,Elementary,2400090.0,Baltimore City Public Schools,Guilford Elementary/Middle,MD,Baltimore City,Baltimore,4520 York Rd,21212,Guilford Elementary/Middle School
1139,A9701439,Elementary,Nan,Nan,Curtis Wilson Primary School O,IN,Marion,Indianapolis,7850 S EMERSON AVE,46237,Curtis Wilson Primary School O
1140,A9701359,Combined Elem/Sec,Nan,Nan,Foothills School Of Arts & Sciences,ID,Ada,Boise,618 S 8TH ST,83702,Foothills School Of Arts & Sciences
1141,A0700373,Combined Elem/Sec,Nan,Nan,Winter Park Christian School,CO,Grand,Tabernash,PO BOX 518,80478,Winter Park Christian School
1142,100005200346,Middle,1000052.0,Gateway Lab School,Gateway Lab School,DE,New Castle County,Wilmington,2501 Centerville Road,19808,Gateway Lab School
1143,150003000169,Elementary,1500030.0,Hawaii Department Of Education,Iliahi Elementary School,HI,Honolulu County,Wahiawa,2035 California Ave,96786,Iliahi Elementary School
1144,340810005908,Middle,3408100.0,Lacey Township School District,Mill Pond Elementary School,NJ,Ocean County,Lanoka Harbor,210 WESTERN BLVD,08734,Mill Pond Elementary School
1145,450390101698,Middle,4503901.0,Sc Public Charter School District,Polaris Tech,SC,Jasper County,Ridgeland,1508 Grays Highway,29936,Polaris Tech
1146,350006000921,High,3500130.0,Albuquerque Institute Of Math & Science,Albuquerque Institute Of Math & Science,NM,Bernalillo County,Albuquerque,933 BRADBURY SE,87106,Albuquerque Institute Of Math & Science
1147,420088007543,Elementary,4200880.0,Propel Cs - Hazelwood,Propel Cs - Hazelwood,PA,Allegheny County,Pittsburgh,5401 Glenwood Avenue,15208,Propel Cs - Hazelwood
1148,470294002084,Middle,4700148.0,Shelby County,Memphis Business Academy Middle,TN,Shelby County,Memphis,3306 Overton Crossing,38134,Memphis Business Academy Middle School
1149,440001900479,High,4400019.0,Rhode Island Nurses Institute Middle College,Rini Middle College,RI,Providence County,Providence,150 washington Street,02903,Rini Middle College
1150,530207000308,Middle,5302070.0,Deer Park School District,Deer Park Middle School,WA,Spokane County,Deer Park,S. 347 Colville Ave.,99006,Deer Park Middle School
1151,231416000658,High,2314160.0,Rsu 52/Msad 52,Leavitt Area High School,ME,Androscoggin County,Turner,21 Matthews Way,04282,Leavitt Area High School
1152,Y0490401,Combined Elem/Sec,Nan,Nan,Overland Christian Schools,KS,Johnson,Overland Park,7401 METCALF AVE,66204,Overland Christian Schools
1153,A0971650,Combined Elem/Sec,Nan,Nan,Victory Christian School,OK,Tulsa,Tulsa,7700 S LEWIS AVE,74136,Victory Christian School
1154,00515417,Elementary,Nan,Nan,Our Lady Of The Mountains School,KY,Johnson,Paintsville,405 3RD ST,41240,Our Lady Of The Mountains School
1155,250055802844,Elementary,2500558.0,Bentley Academy Charter School (District),Bentley Academy Charter School,MA,Essex County,Salem,25 Memorial Drive,01970,Bentley Academy Charter School
1156,240048000783,Middle,2400480.0,Montgomery County Public Schools,Benjamin Banneker Middle,MD,Montgomery County,Burtonsville,14800 Perrywood Dr,20866,Benjamin Banneker Middle School
1157,A1392011,Combined Elem/Sec,Nan,Nan,The Montessouri School,CT,Fairfield,Wilton,34 WHIPPLE RD,06897,The Montessouri School
1158,A9502676,Combined Elem/Sec,Nan,Nan,Prairie Hill Learning Center,NE,Lancaster,Roca,17705 S 12TH ST,68430,Prairie Hill Learning Center
1159,00542495,Combined Elem/Sec,Nan,Nan,John Curtis Christian School,LA,Jefferson,River Ridge,10125 JEFFERSON HWY,70123,John Curtis Christian School
1160,A1702734,Combined Elem/Sec,Nan,Nan,Christian Classical Academy,NC,Burke,Morganton,PO BOX 2275,28680,Christian Classical Academy
1161,250055902869,Middle,2500559.0,New Heights Charter School Of Brockton (District),New Heights Charter School Of Brockton,MA,Plymouth County,Brockton,1690 Main Street,02301,New Heights Charter School Of Brockton
1162,210186000376,Elementary,2101860.0,Fayette County,Picadome Elementary School,KY,Fayette County,Lexington,1642 Harrodsburg Rd,40504,Picadome Elementary School
1163,390448001675,Elementary,3904480.0,South-Western City,James A Harmon Elementary School,OH,Franklin County,Grove City,1861 Gantz Rd,43123,James A Harmon Elementary School
1164,00810285,Elementary,Nan,Nan,Norfolk Catholic Elem.,NE,Madison,Norfolk,2301 MADISON,68701,Norfolk Catholic Elem.
1165,193048001723,Middle,1930480.0,Waterloo Comm School District,Hoover Middle School,IA,Black Hawk County,Waterloo,630 Hillcrest Rd,50701,Hoover Middle School
1166,A9703418,Elementary,Nan,Nan,The Bellwether School,VT,Chittenden,Williston,1186 S BROWNELL RD,05495,The Bellwether School
1167,00001376,Elementary,Nan,Nan,Forestdale Baptist,AL,Jefferson,Birmingham,1400 BRISBANE AVE,35214,Forestdale Baptist
1168,484668005624,Elementary,4846680.0,Ysleta Isd,Pebble Hills El,TX,El Paso County,El Paso,11145 EDGEMERE BLVD,79936,Pebble Hills Elementary School
1169,410516001189,High,4105160.0,Forest Grove Sd 15,Forest Grove High School,OR,Washington County,Forest Grove,1401 Nichols Ln,97116,Forest Grove High School
1170,130000502626,High,1300005.0,Commission Charter Schools- Ccat School,Statesboro Steam Academy,GA,Bulloch County,Statesboro,1718 Northside Dr E,30458,Statesboro Steam Academy
1171,00083167,Combined Elem/Sec,Nan,Nan,Pilgrim School,CA,Los Angeles,Los Angeles,540 S COMMONWEALTH AVE,90020,Pilgrim School
1172,050042201654,High,500422.0,Southeast Arkansas Preparatory High School,Southeast Arkansas Preparatory High School,AR,Nan,Pine Bluff,1501 W 73RD AVE,71603,Southeast Arkansas Preparatory High School
1173,A0792075,Elementary,Nan,Nan,Wesley Prep,TX,Dallas,Dallas,9200 INWOOD RD,75220,Wesley Prep
1174,370043803459,Middle,3700438.0,Ascend Leadership Academy: Lee County,Ascend Leadership Academy: Lee County,NC,Durham County,Sanford,283 Harvey Faulk Road,27332,Ascend Leadership Academy: Lee County
1175,040024803089,Elementary,400248.0,Telesis Center For Learning Inc. (79218),Telesis Preparatory,AZ,Mohave County,Lake Havasu City,2598 STARLITE LN,86403,Telesis Preparatory
1176,362859003868,Middle,3628590.0,Syracuse City School District,Lincoln Middle School,NY,Onondaga County,Syracuse,1613 JAMES ST,13203,Lincoln Middle School
1177,310399000078,High,3103990.0,Bennington Public Schools,Bennington High School,NE,Douglas County,Bennington,16610 BENNINGTON ROAD,68007,Bennington High School
1178,090021901782,Middle,900219.0,Great Oaks Charter School Bri,Great Oaks Charter School,CT,Fairfield County,Bridgeport,510 Barnum Ave.,06608,Great Oaks Charter School
1179,340079403457,Middle,3400794.0,Achievers Early College Prep Charter School,Achievers Early College Prep Charter School,NJ,Nan,Trenton,500 Smith Street,08611,Achievers Early College Prep Charter School
1180,390443701295,Elementary,3904437.0,Mayfield City,Gates Mills Elementary School,OH,Cuyahoga County,Gates Mills,7639 Colvin Rd,44040,Gates Mills Elementary School
1181,120132007960,High,1201320.0,Monroe,Key West Collegiate School,FL,Monroe County,Key West,5901 COLLEGE RD,33040,Key West Collegiate School
1182,400078002874,High,4000780.0,Kipp (Charter),Kipp Tulsa University Prep,OK,Nan,Tulsa,1661 E VIRGIN ST,74106,Kipp Tulsa University Prep
1183,292679001613,High,2926790.0,Rock Port R-Ii,Rock Port High,MO,Atchison County,Rock Port,600 S NEBRASKA ST,64482,Rock Port High School
1184,440001500513,Middle,4400015.0,Blackstone Valley Prep  A Ri Mayoral Academy,Blackstone Valley Prep Mid2,RI,Providence County,Lincoln,3 Fairlawn Way,02865,Blackstone Valley Prep Mid2
1185,180018202619,High,1800182.0,Excel Center - Clarksville,Excel Center - Clarksville,IN,Clark County,Clarksville,1329 Applegate Lane,47129,Excel Center - Clarksville
1186,A0902103,Combined Elem/Sec,Nan,Nan,Trinity International School,NV,Clark,Las Vegas,4141 MEADOWS LN,89107,Trinity International School
1187,280019001448,Middle,2800190.0,Midtown Public Charter School,Midtown Public Charter School,MS,Hinds County,Jackson,301 ADELE ST,39202,Midtown Public Charter School
1188,290059003181,High,2900590.0,Frontier Schools,Frontier Schl Of Excellence-U,MO,Jackson County,Kansas City,5605 TROOST AVE,64110,Frontier Schl Of Excellence-U
1189,00030964,Elementary,Nan,Nan,Santa Cruz Catholic School,AZ,Pima,Tucson,29 W 22ND ST,85713,Santa Cruz Catholic School
1190,410192001223,Elementary,4101920.0,Beaverton Sd 48J,Oak Hills Elementary School,OR,Washington County,Beaverton,2625 NW 153rd Ave,97006,Oak Hills Elementary School
1191,172487002696,Middle,1724870.0,Marshall Cusd 2C,Marshall Jr High School,IL,Clark County,Marshall,806 N 6th St,62441,Marshall Jr High School
1192,A0501486,Combined Elem/Sec,Nan,Nan,Calvary Christian School,ID,Canyon,Nampa,1210 N MIDDLETON RD,83651,Calvary Christian School
1193,450390101542,High,4503901.0,Sc Public Charter School District,Palmetto Scholars Academy,SC,Charleston County,North Charleston,7499 Dorchester Road,29418,Palmetto Scholars Academy
1194,A1303148,Elementary,Nan,Nan,Eddlemon Adventist School,SC,Spartanburg,Spartanburg,1217 JOHN B WHITE STATE ROAD BLVD,29306,Eddlemon Adventist School
1195,590002000148,High,5900126.0,Northwest High School,Northwest High School,NM,San Juan County,Shiprock,P.O. Box 1809,87420,Northwest High School
1196,293222002260,High,2932220.0,Winona R-Iii,Winona High,MO,Shannon County,Winona,8256 State Hwy 19,65588,Winona High School
1197,00851357,Elementary,Nan,Nan,St Thomas Aquinas School,NH,Rockingham,Derry,3 MOODY ST,03038,St Thomas Aquinas School
1198,463448000288,High,4634480.0,Hot Springs School District 23-2,Hot Springs High School - 01,SD,Fall River County,Hot Springs,110 N 16th St,57747,Hot Springs High School - 01
1199,180016902596,High,1800169.0,Excel Center - South Bend,Excel Center - South Bend,IN,St. Joseph County,South Bend,2721 Kenwood Avenue,46628,Excel Center - South Bend
1200,A0103989,Elementary,Nan,Nan,Jewish Primary Day School/Nations Capital,DC,District Of Columbia,Washington,6045 16TH ST NW,20011,Jewish Primary Day School/Nations Capital
1201,040008301014,High,400083.0,Portable Practical Educational Preparation Inc. ( (4431),Ppep Tec - Alice S. Paul Learning Center,AZ,Pinal County,Casa Grande,220 E FLORENCE BLVD,85122,Ppep Tec - Alice S. Paul Learning Center
1202,A9106868,Elementary,Nan,Nan,Westside School,WA,King,Seattle,10404 34TH AVE SW,98146,Westside School
1203,340001900269,High,3400019.0,Chartertech High School For The Performing Arts,Chartertech High School For The Performing Arts,NJ,Atlantic County,Somers Point,413 NEW ROAD,08244,Chartertech High School For The Performing Arts
1204,A1303538,Combined Elem/Sec,Nan,Nan,Inspire For Autism,VT,Windham,Brattleboro,130 AUSTINE DR STE 240,05301,Inspire For Autism
1205,020018000117,Elementary,200180.0,Anchorage School District,Taku Elementary,AK,Anchorage Municipality,Anchorage,701 E 72nd Ave,99518,Taku Elementary School
1206,210115000222,Elementary,2101150.0,Christian County,Crofton Elementary School,KY,Christian County,Crofton,12145 S Madisonville Rd,42217,Crofton Elementary School
1207,560423000215,Middle,5604230.0,Niobrara County School District #1,Lusk Middle School,WY,Niobrara County,Lusk,425 S. Maple,82225,Lusk Middle School
1208,440002100495,Elementary,4400021.0,Achievement First Rhode Island,Achievement First Illuminar,RI,Providence County,Providence,370 Hartford Avenue,02909,Achievement First Illuminar
1209,201074000400,High,2010740.0,Plainville,Plainville High,KS,Rooks County,Plainville,202 SE Cardinal Avenue,67663,Plainville High School
1210,280063000055,Elementary,2800630.0,Biloxi Public School Dist,Jeff Davis Elementary School,MS,Harrison County,Biloxi,340 St. Mary Blvd.,39531,Jeff Davis Elementary School
1211,551006003354,Elementary,5510060.0,Mukwonago School District,Eagleville Charter School,WI,Waukesha County,Eagle,S101W34511 Hwy LO,53119,Eagleville Charter School
1212,173951003998,Elementary,1739510.0,Troy Ccsd 30C,Troy Shorewood School,IL,Will County,Shorewood,210 School Rd,60404,Troy Shorewood School
1213,350006001043,Elementary,3500060.0,Albuquerque Public Schools,Helen Cordero Primary,NM,Bernalillo County,Albuquerque,8800 EUCARIZ SW,87121,Helen Cordero Primary
1214,00232009,Elementary,Nan,Nan,Trinity Catholic Middle,CT,Fairfield,Stamford,948 NEWFIELD AVE,06905,Trinity Catholic Middle School
1215,340005200351,Middle,3400052.0,Classical Academy Charter School Of Clifton,Classical Academy Charter School Of Clifton,NJ,Passaic County,Clifton,1255 Main Avenue,07011,Classical Academy Charter School Of Clifton
1216,A1702723,Elementary,Nan,Nan,Academy At New Life,NC,Cumberland,Hope Mills,PO BOX 622,28348,Academy At New Life
1217,A1701742,Elementary,Nan,Nan,Oak Ridge School,IN,Daviess,Montgomery,7057 E 300 N,47558,Oak Ridge School
1218,400450002665,Middle,4004500.0,Bixby,North Intermediate School,OK,Tulsa County,Bixby,6941 East 121st Street South,74008,North Intermediate School
1219,A0992047,Combined Elem/Sec,Nan,Nan,Stoney Creek Montessori,NC,Guilford,Whitsett,6335 DOUBLE EAGLE DR,27377,Stoney Creek Montessori
1220,Aa000480,Combined Elem/Sec,Nan,Nan,Hartford Area Sda School,CT,Hartford,Hartford,474 WOODLAND ST,06112,Hartford Area Sda School
1221,100153000155,Elementary,1001530.0,Seaford School District,Seaford Central Elementary School,DE,Sussex County,Seaford,1 Delaware Place,19973,Seaford Central Elementary School
1222,462403000202,Elementary,4624030.0,Faulkton Area Schools 24-4,Faulkton Elementary - 02,SD,Faulk County,Faulkton,1114 Court St,57438,Faulkton Elementary - 02
1223,A0900023,Elementary,Nan,Nan,Eastmont Baptist Kindergarten,AL,Montgomery,Montgomery,4505 ATLANTA HWY,36109,Eastmont Baptist Kindergarten
1224,464794200429,Elementary,4647942.0,Miller 29-4,Miller Elementary - 02,SD,Hand County,Miller,623 E 4th St,57362,Miller Elementary - 02
1225,403024002742,Elementary,4000769.0,Lighthouse Academy (Charter),Tulsa Legacy Charter Schl Inc,OK,Tulsa County,Tulsa,105 East 63rd Street North,74126,Tulsa Legacy Charter Schl Inc
1226,302847000791,Elementary,3028470.0,Winnett K-12 Schools,Winnett School,MT,Petroleum County,Winnett,305 S Broadway,59087,Winnett School
1227,450144001691,Middle,4501440.0,Charleston 01,Camp Road Middle,SC,Charleston County,Charleston,1484 Camp Road,29412,Camp Road Middle School
1228,350006000920,Elementary,3500060.0,Albuquerque Public Schools,Mountain Mahogany Community School,NM,Bernalillo County,Albuquerque,5014 4TH STREET NW,87107,Mountain Mahogany Community School
1229,250007301750,High,2500073.0,Sizer School: A North Central Charter Essential (District),Sizer School: A North Central Charter Essential School,MA,Worcester County,Fitchburg,500 Rindge Road,01420,Sizer School: A North Central Charter Essential School
1230,00489101,Elementary,Nan,Nan,Sacred Heart School,KS,Ness,Ness City,510 S SCHOOL ST,67560,Sacred Heart School
1231,500489000164,Elementary,5004890.0,Isle La Motte School District,Isle La Motte Elementary School,VT,Grand Isle County,Isle La Motte,534 School Street,05463,Isle La Motte Elementary School
1232,00752425,Elementary,Nan,Nan,Sacred Heart Elementary School,MO,St. Louis,Eureka,350 E 4TH ST,63025,Sacred Heart Elementary School
1233,01514933,Combined Elem/Sec,Nan,Nan,Union Grove Christian School,WI,Racine,Union Grove,417 15TH AVE,53182,Union Grove Christian School
1234,A1101443,Combined Elem/Sec,Nan,Nan,Yeshiva Day School Of Las Vegas,NV,Clark,Henderson,55 N VALLE VERDE DR,89074,Yeshiva Day School Of Las Vegas
1235,00253437,Elementary,Nan,Nan,Sheridan School,DC,District Of Columbia,Washington,4400 36TH ST NW,20008,Sheridan School
1236,550039002547,High,5500390.0,Appleton Area School District,Tesla Engineering Charter School,WI,Outagamie County,Appleton,2121 Emmers Dr,54915,Tesla Engineering Charter School
1237,390485303295,High,3904853.0,Southern Local,Southern High School,OH,Meigs County,Racine,920 Elm St,45771,Southern High School
1238,250279002677,Middle,2502790.0,Boston,Higginson/Lewis K-8,MA,Suffolk County,Roxbury,131 Walnut Avenue,02119,Higginson/Lewis K-8
1239,A9106250,Elementary,Nan,Nan,Ashley Academy,TN,Washington,Johnson City,1502 KNOB CREEK RD,37604,Ashley Academy
