random_order,id,sch_level,dist_id,dist_name,sch_name,lstate,county,city,lat,lon,street,zip,private
1063,A1592181,Combined elem/sec,,,MONTESSORI PATHWAYS OF NEW ENGLAND,RI,WASHINGTON,EXETER,42,-72,567 S COUNTY TRL STE 307,2822,1
1064,450390101663,High,4503901,SC PUBLIC CHARTER SCHOOL DISTRICT,Oceanside Collegiate Academy,SC,CHARLESTON COUNTY,MT. PLEASANT,33,-80,580 Faison Street,29466,
1065,450102000124,Elementary,4501020,BARNWELL 19,Macedonia Elementary-Middle,SC,BARNWELL COUNTY,BLACKVILLE,33,-81,556 Jones Bridge Road,29817,
1066,090438000883,Elementary,904380,STONINGTON SCHOOL DISTRICT,West Vine Street School,CT,NEW LONDON COUNTY,PAWCATUCK,41,-72,17 West Vine St.,6379,
1067,560267000151,High,5602670,FREMONT COUNTY SCHOOL DISTRICT # 2,Dubois High School,WY,FREMONT COUNTY,DUBOIS,44,-110,700 N. 1st Street,82513,
1068,080002001913,Elementary,800020,STATE CHARTER SCHOOL INSTITUTE,ROSS MONTESSORI SCHOOL,CO,GARFIELD COUNTY,CARBONDALE,39,-107,109 LEWIES LANE,81623,
1069,560103000028,Middle,5601030,CARBON COUNTY SCHOOL DISTRICT #1,Rawlins Middle School,WY,CARBON COUNTY,RAWLINS,42,-107,1001 East Brooks Street,82301,
1070,060282013154,High,602820,ANTELOPE VALLEY UNION HIGH,Academies of the Antelope Valley,CA,LOS ANGELES COUNTY,QUARTZ HILL,35,-118,6300 W. Ave. L,93536,
1071,A0110222,Combined elem/sec,,,AMBASSADOR CHRISTIAN ACADEMY,WV,MINGO,WILLIAMSON,38,-82,PO BOX 701,25661,1
1072,150003000143,Middle,1500030,HAWAII DEPARTMENT OF EDUCATION,Wahiawa Middle School,HI,HONOLULU COUNTY,WAHIAWA,21,-158,275 Rose St,96786,
1073,A1301472,Elementary,,,NEW HOPE SCHOOL,KY,LOGAN,LEWISBURG,37,-87,735 L MCREYNOLDS RD,42256,1
1074,A1702331,Combined elem/sec,,,SHODAIR CHILDREN'S HOSPITAL,MT,LEWIS AND CLARK,HELENA,47,-112,PO BOX 5539,59604,1
1075,A9502526,Combined elem/sec,,,GULF OAKS THERAPEUTIC DAY SCHOOL,MS,HARRISON,BILOXI,30,-89,180C DEBUYS RD,39531,1
1076,260016801037,Middle,2600168,CHANDLER PARK ACADEMY,Chandler Park Academy  Middle School,MI,WAYNE COUNTY,HARPER WOODS,42,-83,20100 KELLY RD,48225,
1077,320000100886,High,3200001,STATE-SPONSORED CHARTER SCHOOLS,Leadership Academy of Nevada,NV,CLARK COUNTY,LAS VEGAS,36,-115,7495 W. Azure Drive #209,89130,
1078,480000101146,High,4800001,CROSBYTON CISD,CROSBYTON SECONDARY,TX,CROSBY COUNTY,CROSBYTON,34,-101,204 S HARRISON,79322,
1079,350189000467,Elementary,3501890,MORIARTY-EDGEWOOD SCHOOL DISTRICT,MORIARTY ELEMENTARY,NM,TORRANCE COUNTY,MORIARTY,35,-106,2015 SCHOOL LOOP,87035,
1080,420081507308,Middle,4200815,KIPP WEST PHILADELPHIA PREPARATORY CHARTER SCHOOL,KIPP West Philadelphia Preparatory Chart,PA,PHILADELPHIA COUNTY,PHILADELPHIA,40,-75,5900 Baltimore Ave,19143,
1081,130023404179,Elementary,1300234,STATE CHARTER SCHOOLS- INTERNATIONAL CHARTER SCHOOL OF ATLAN,International Charter School of Atlanta,GA,FULTON COUNTY,ROSWELL,34,-84,1335 Northmeadow Pkwy Ste 100,30076,
1082,00852532,Combined elem/sec,,,CROTCHED MOUNTAIN SCHOOL,NH,HILLSBOROUGH,GREENFIELD,43,-72,1 VERNEY DR,3047,1
1083,420074900960,High,4200749,EVERGREEN COMMUNITY CS,Evergreen Community CS,PA,MONROE COUNTY,CRESCO,41,-75,905 East Grace Ave.,19326,
1084,A9103527,Elementary,,,MONTESSORI STEPPING STONES,MI,MACOMB,MOUNT CLEMENS,43,-83,174 CASS AVE,48043,1
1085,040423001877,Elementary,404230,KYRENE ELEMENTARY DISTRICT (4267),Kyrene de la Estrella Elementary School,AZ,MARICOPA COUNTY,PHOENIX,33,-112,2620 E LIBERTY LN,85048,
1086,540060000397,High,5400600,KANAWHA COUNTY SCHOOLS,GEORGE WASHINGTON HIGH SCHOOL,WV,KANAWHA COUNTY,CHARLESTON,38,-82,1522 TENNIS CLUB RD,25314,
1087,390451802113,High,3904518,ADA EXEMPTED VILLAGE,Ada High School,OH,HARDIN COUNTY,ADA,41,-84,435 Grand Ave,45810,
1088,BB181070,Elementary,,,MAPLE LANE SCHOOL,IN,ADAMS,BERNE,41,-85,1469 W 200 S,46711,1
1089,450231001244,Middle,4502310,GREENVILLE 01,Greer Middle,SC,GREENVILLE COUNTY,GREER,35,-82,3032 East Gap Creek Road,29651,
1090,482967021347,Middle,4829670,MCALLEN ISD,DE LEON MIDDLE,TX,HIDALGO COUNTY,MCALLEN,26,-98,4201 N 29TH ST,78501,
1091,120018007904,High,1200180,BROWARD,ANDREWS HIGH SCHOOL,FL,BROWARD COUNTY,POMPANO BEACH,26,-80,3500 N ANDREWS AVENUE,33064,
1092,191710001947,Elementary,1917100,NORTH CEDAR COMM SCHOOL DISTRICT,North Cedar Lowden Elementary Center,IA,CEDAR COUNTY,LOWDEN,42,-91,703 Park Avenue,52255,
1093,01653343,Combined elem/sec,,,TRICOUNTY ACADEMY,MS,MADISON,FLORA,33,-90,400 COX FERRY RD,39071,1
1094,400501005013,High,4005010,BOONE-APACHE,APACHE HS,OK,CADDO COUNTY,APACHE,35,-98,101 Pohleman,73006,
1095,260025201235,Elementary,2600252,GRAND RAPIDS CHILD DISCOVERY CENTER,Grand Rapids Child Discovery Center,MI,KENT COUNTY,GRAND RAPIDS,43,-86,409 Lafayette Ave SE,49503,
1096,A1503357,Elementary,,,NIVERTON SCHOOL,PA,SOMERSET,SALISBURY,40,-79,550 NIVERTON RD,15558,1
1097,01128482,Elementary,,,MIZEL JEWISH COMMUNITY DAY SCHOOL,OK,TULSA,TULSA,36,-96,2021 E 71ST ST,74136,1
1098,560406000203,Middle,5604060,LINCOLN COUNTY SCHOOL DISTRICT #2,Star Valley Middle School,WY,LINCOLN COUNTY,AFTON,43,-111,999 Warrior Way,83110,
1099,BB181281,Combined elem/sec,,,FAMILY CHRISTIAN ACADEMY,LA,EAST BATON ROUGE,BATON ROUGE,30,-91,8919 WORLD MINISTRY AVE,70810,1
1100,A9105373,Elementary,,,ARBOR SCHOOL OF ARTS & SCIENCES,OR,CLACKAMAS,TUALATIN,45,-123,4201 SW BORLAND RD,97062,1
1101,A9501450,Combined elem/sec,,,COVENANT CHRISTIAN ACADEMY,GA,GWINNETT,LOGANVILLE,34,-84,3425 LOGANVILLE HWY,30052,1
1102,A0109502,Elementary,,,THE JOY SCHOOL,TX,HARRIS,HOUSTON,30,-95,ONE CHELSEA BLVD,77006,1
1103,490036000261,High,4900360,GRANITE DISTRICT,Skyline High,UT,SALT LAKE COUNTY,SALT LAKE CITY,41,-112,3251 E 3760 S,84109,
1104,A1390337,Combined elem/sec,,,GRACE COVENANT ACADEMY-FRISCO,TX,COLLIN,FRISCO,33,-97,10633 JOHN W ELLIOTT DR,75033,1
1105,00426093,Elementary,,,EIGHT SQUARE SCHOOL,IN,ELKHART,MIDDLEBURY,42,-86,60517 COUNTY ROAD 35,46540,1
1106,01432696,Combined elem/sec,,,ROANOKE VALLEY CHRISTIAN SCHOOLS,VA,ROANOKE,ROANOKE,37,-80,6520 WILLIAMSON RD,24019,1
1107,500552000469,Middle,5000402,ADDISON CENTRAL UNIFIED SCHOOL DISTRICT,Middlebury Union Middle School,VT,ADDISON COUNTY,MIDDLEBURY,44,-73,48 Deerfield Lane,5753,
1108,A1592002,Combined elem/sec,,,ELLWOOD CHRISTIAN ACADEMY,AL,DALLAS,SELMA,32,-87,1 BELL RD,36701,1
1109,069102308230,High,691023,NEVADA COUNTY OFFICE OF EDUCATION,John Muir Charter,CA,NEVADA COUNTY,GRASS VALLEY,39,-121,117 New Mohawk Dr. Ste. F,95959,
1110,050006201526,Elementary,500062,KIPP DELTA PUBLIC SCHOOLS,KIPP BLYTHEVILLE COLLEGE PREPARATORY SCHOOL,AR,MISSISSIPPI COUNTY,BLYTHEVILLE,36,-90,1007 S FRANKLIN ST,72315,
1111,370001702069,Elementary,3700017,FRANCINE DELANY NEW SCHOOL,Francine Delany New School,NC,BUNCOMBE COUNTY,ASHEVILLE,36,-83,119 Brevard Road,28806,
1112,401272000593,Elementary,4012720,GLENPOOL,GLENPOOL ES,OK,TULSA COUNTY,GLENPOOL,36,-96,461 E 146th St,74033,
1113,180447002224,Middle,1804470,WESTERN SCHOOL CORPORATION,Western Intermediate School,IN,HOWARD COUNTY,RUSSIAVILLE,40,-86,2600 S 600 W,46979,
1114,020057000332,High,200570,NOME PUBLIC SCHOOLS,Nome Youth Facility,AK,NOME CENSUS AREA,NOME,64,-165,4th Ave/K St,99762,
1115,BB160719,Combined elem/sec,,,OASIS CHRISTIAN ACADEMY,FL,MIAMI-DADE,MIAMI,26,-80,540 NW 165TH ST RD STE 104,33169,1
1116,A0700405,Combined elem/sec,,,KENTON MENNONITE SCHOOL,DE,KENT,CLAYTON,39,-76,2422 CHANCE RD,19938,1
1117,421899005188,Elementary,4218990,PHILADELPHIA CITY SD,Wright Richard R Sch,PA,PHILADELPHIA COUNTY,PHILADELPHIA,40,-75,2700 W Dauphin St,19132,
1118,00087751,Combined elem/sec,,,LIBERTY BAPTIST SCHOOL,CA,SANTA CLARA,SAN JOSE,37,-122,2790 S KING RD,95122,1
1119,A0500827,Elementary,,,MONTESSORI ACADEMY OF COLORADO,CO,DENVER,DENVER,40,-105,2500 CURTIS ST,80205,1
1120,130012003992,Middle,1300120,ATLANTA PUBLIC SCHOOLS,KIPP VISION,GA,FULTON COUNTY,ATLANTA,34,-84,660 McWilliams Rd SE,30315,
1121,01296913,Combined elem/sec,,,FIRST ASSEMBLY CHRISTIAN SCHOOL,TN,SHELBY,CORDOVA,35,-90,8650 WALNUT GROVE RD,38018,1
1122,02044829,Combined elem/sec,,,RIO GRANDE CHRISTIAN ACADEMY,NM,BERNALILLO,ALBUQUERQUE,35,-107,2121 GUN CLUB RD SW,87105,1
1123,280105000122,Elementary,2801050,CLARKSDALE MUNICIPAL SCHOOL DIST,KIRKPATRICK  HEALTH /WELLNESS,MS,COAHOMA COUNTY,CLARKSDALE,34,-91,1101 SMITH STREET,38614,
1124,090456000915,Middle,904560,TOLLAND SCHOOL DISTRICT,Tolland Middle School,CT,TOLLAND COUNTY,TOLLAND,42,-72,1 Falcon Way,6084,
1125,062334004613,Middle,623340,MADERA UNIFIED,Martin Luther King Jr. Middle,CA,MADERA COUNTY,MADERA,37,-120,601 Lilly St.,93638,
1126,381292000424,Elementary,3812920,MIDWAY 128,MIDWAY ELEMENTARY SCHOOL,ND,GRAND FORKS COUNTY,INKSTER,48,-98,3202 33rd Ave NE,58233,
1127,A1503110,Combined elem/sec,,,SPRING MOUNTAIN CHRISTIAN ACADEMY,OR,CLACKAMAS,CLACKAMAS,45,-123,12152 SE MATHER RD,97015,1
1128,02040325,Combined elem/sec,,,LAMAR SCHOOL,MS,LAUDERDALE,MERIDIAN,32,-89,544 LINDLEY RD,39305,1
1129,A0103707,Elementary,,,VICTORY CHRISTIAN ACADEMY,IA,WARREN,INDIANOLA,41,-94,805 N 1ST ST,50125,1
1130,300588000941,Middle,3005880,CASCADE ELEM,Cascade 7-8,MT,CASCADE COUNTY,CASCADE,47,-112,321 Central Ave W,59421,
1131,00868724,Combined elem/sec,,,RUTGERS PREPARATORY SCHOOL,NJ,SOMERSET,SOMERSET,41,-74,1345 EASTON AVE,8873,1
1132,540060000361,High,5400600,KANAWHA COUNTY SCHOOLS,BEN FRANKLIN CAREER CENTER,WV,KANAWHA COUNTY,DUNBAR,38,-82,500 28TH STREET,25064,
1133,040087803350,High,400878,BASIS CHARTER SCHOOLS INC. (91309),BASIS Tucson North,AZ,PIMA COUNTY,TUCSON,32,-111,5740 E RIVER RD,85750,
1134,A9104281,Combined elem/sec,,,ARCHBISHOP DAMIANO SCHOOL,NJ,GLOUCESTER,WESTVILLE,40,-75,1145 DELSEA DR,8093,1
1135,AA890786,Combined elem/sec,,,WILLIAM BRADFORD CHRISTIAN SCHOOL,OK,MAYES,PRYOR,36,-95,2320 NE 1ST ST,74361,1
1136,A9902140,Combined elem/sec,,,AUCOCISCO SCHOOL,ME,CUMBERLAND,CAPE ELIZABETH,44,-70,126 SPURWINK AVE,4107,1
1137,A0109638,Elementary,,,A WORLD OF CHILDREN,VA,CHESAPEAKE,CHESAPEAKE,37,-76,752 CEDAR RD,23322,1
1138,240009001428,Elementary,2400090,BALTIMORE CITY PUBLIC SCHOOLS,Guilford Elementary/Middle,MD,BALTIMORE CITY,BALTIMORE,39,-77,4520 York Rd,21212,
1139,A9701439,Elementary,,,CURTIS WILSON PRIMARY SCHOOL O,IN,MARION,INDIANAPOLIS,40,-86,7850 S EMERSON AVE,46237,1
1140,A9701359,Combined elem/sec,,,FOOTHILLS SCHOOL OF ARTS & SCIENCES,ID,ADA,BOISE,44,-116,618 S 8TH ST,83702,1
1141,A0700373,Combined elem/sec,,,WINTER PARK CHRISTIAN SCHOOL,CO,GRAND,TABERNASH,40,-106,PO BOX 518,80478,1
1142,100005200346,Middle,1000052,GATEWAY LAB SCHOOL,Gateway Lab School,DE,NEW CASTLE COUNTY,WILMINGTON,40,-76,2501 Centerville Road,19808,
1143,150003000169,Elementary,1500030,HAWAII DEPARTMENT OF EDUCATION,Iliahi Elementary School,HI,HONOLULU COUNTY,WAHIAWA,22,-158,2035 California Ave,96786,
1144,340810005908,Middle,3408100,LACEY TOWNSHIP SCHOOL DISTRICT,Mill Pond Elementary School,NJ,OCEAN COUNTY,LANOKA HARBOR,40,-74,210 WESTERN BLVD,8734,
1145,450390101698,Middle,4503901,SC PUBLIC CHARTER SCHOOL DISTRICT,Polaris Tech,SC,JASPER COUNTY,RIDGELAND,32,-81,1508 Grays Highway,29936,
1146,350006000921,High,3500130,ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,NM,BERNALILLO COUNTY,ALBUQUERQUE,35,-107,933 BRADBURY SE,87106,
1147,420088007543,Elementary,4200880,PROPEL CS - HAZELWOOD,Propel CS - Hazelwood,PA,ALLEGHENY COUNTY,PITTSBURGH,40,-80,5401 Glenwood Avenue,15208,
1148,470294002084,Middle,4700148,SHELBY COUNTY,Memphis Business Academy Middle,TN,SHELBY COUNTY,MEMPHIS,35,-90,3306 Overton Crossing,38134,
1149,440001900479,High,4400019,RHODE ISLAND NURSES INSTITUTE MIDDLE COLLEGE,RINI Middle College,RI,PROVIDENCE COUNTY,PROVIDENCE,42,-71,150 washington Street,2903,
1150,530207000308,Middle,5302070,DEER PARK SCHOOL DISTRICT,Deer Park Middle School,WA,SPOKANE COUNTY,DEER PARK,48,-117,S. 347 Colville Ave.,99006,
1151,231416000658,High,2314160,RSU 52/MSAD 52,Leavitt Area High School,ME,ANDROSCOGGIN COUNTY,TURNER,44,-70,21 Matthews Way,4282,
1152,Y0490401,Combined elem/sec,,,OVERLAND CHRISTIAN SCHOOLS,KS,JOHNSON,OVERLAND PARK,39,-95,7401 METCALF AVE,66204,1
1153,A0971650,Combined elem/sec,,,VICTORY CHRISTIAN SCHOOL,OK,TULSA,TULSA,36,-96,7700 S LEWIS AVE,74136,1
1154,00515417,Elementary,,,OUR LADY OF THE MOUNTAINS SCHOOL,KY,JOHNSON,PAINTSVILLE,38,-83,405 3RD ST,41240,1
1155,250055802844,Elementary,2500558,BENTLEY ACADEMY CHARTER SCHOOL (DISTRICT),Bentley Academy Charter School,MA,ESSEX COUNTY,SALEM,43,-71,25 Memorial Drive,1970,
1156,240048000783,Middle,2400480,MONTGOMERY COUNTY PUBLIC SCHOOLS,Benjamin Banneker Middle,MD,MONTGOMERY COUNTY,BURTONSVILLE,39,-77,14800 Perrywood Dr,20866,
1157,A1392011,Combined elem/sec,,,THE MONTESSOURI SCHOOL,CT,FAIRFIELD,WILTON,41,-73,34 WHIPPLE RD,6897,1
1158,A9502676,Combined elem/sec,,,PRAIRIE HILL LEARNING CENTER,NE,LANCASTER,ROCA,41,-97,17705 S 12TH ST,68430,1
1159,00542495,Combined elem/sec,,,JOHN CURTIS CHRISTIAN SCHOOL,LA,JEFFERSON,RIVER RIDGE,30,-90,10125 JEFFERSON HWY,70123,1
1160,A1702734,Combined elem/sec,,,CHRISTIAN CLASSICAL ACADEMY,NC,BURKE,MORGANTON,36,-82,PO BOX 2275,28680,1
1161,250055902869,Middle,2500559,NEW HEIGHTS CHARTER SCHOOL OF BROCKTON (DISTRICT),New Heights Charter School of Brockton,MA,PLYMOUTH COUNTY,BROCKTON,42,-71,1690 Main Street,2301,
1162,210186000376,Elementary,2101860,FAYETTE COUNTY,Picadome Elementary School,KY,FAYETTE COUNTY,LEXINGTON,38,-85,1642 Harrodsburg Rd,40504,
1163,390448001675,Elementary,3904480,SOUTH-WESTERN CITY,James A Harmon Elementary School,OH,FRANKLIN COUNTY,GROVE CITY,40,-83,1861 Gantz Rd,43123,
1164,00810285,Elementary,,,NORFOLK CATHOLIC ELEM.,NE,MADISON,NORFOLK,42,-97,2301 MADISON,68701,1
1165,193048001723,Middle,1930480,WATERLOO COMM SCHOOL DISTRICT,Hoover Middle School,IA,BLACK HAWK COUNTY,WATERLOO,42,-92,630 Hillcrest Rd,50701,
1166,A9703418,Elementary,,,THE BELLWETHER SCHOOL,VT,CHITTENDEN,WILLISTON,44,-73,1186 S BROWNELL RD,5495,1
1167,00001376,Elementary,,,FORESTDALE BAPTIST,AL,JEFFERSON,BIRMINGHAM,34,-87,1400 BRISBANE AVE,35214,1
1168,484668005624,Elementary,4846680,YSLETA ISD,PEBBLE HILLS EL,TX,EL PASO COUNTY,EL PASO,32,-106,11145 EDGEMERE BLVD,79936,
1169,410516001189,High,4105160,FOREST GROVE SD 15,Forest Grove High School,OR,WASHINGTON COUNTY,FOREST GROVE,46,-123,1401 Nichols Ln,97116,
1170,130000502626,High,1300005,COMMISSION CHARTER SCHOOLS- CCAT SCHOOL,Statesboro STEAM Academy,GA,BULLOCH COUNTY,STATESBORO,32,-82,1718 Northside Dr E,30458,
1171,00083167,Combined elem/sec,,,PILGRIM SCHOOL,CA,LOS ANGELES,LOS ANGELES,34,-118,540 S COMMONWEALTH AVE,90020,1
1172,050042201654,High,500422,SOUTHEAST ARKANSAS PREPARATORY HIGH SCHOOL,SOUTHEAST ARKANSAS PREPARATORY HIGH SCHOOL,AR,,PINE BLUFF,34,-92,1501 W 73RD AVE,71603,
1173,A0792075,Elementary,,,WESLEY PREP,TX,DALLAS,DALLAS,33,-97,9200 INWOOD RD,75220,1
1174,370043803459,Middle,3700438,ASCEND LEADERSHIP ACADEMY: LEE COUNTY,Ascend Leadership Academy: Lee County,NC,DURHAM COUNTY,SANFORD,36,-79,283 Harvey Faulk Road,27332,
1175,040024803089,Elementary,400248,TELESIS CENTER FOR LEARNING INC. (79218),Telesis Preparatory,AZ,MOHAVE COUNTY,LAKE HAVASU CITY,34,-114,2598 STARLITE LN,86403,
1176,362859003868,Middle,3628590,SYRACUSE CITY SCHOOL DISTRICT,LINCOLN MIDDLE SCHOOL,NY,ONONDAGA COUNTY,SYRACUSE,43,-76,1613 JAMES ST,13203,
1177,310399000078,High,3103990,BENNINGTON PUBLIC SCHOOLS,BENNINGTON HIGH SCHOOL,NE,DOUGLAS COUNTY,BENNINGTON,41,-96,16610 BENNINGTON ROAD,68007,
1178,090021901782,Middle,900219,GREAT OAKS CHARTER SCHOOL BRI,Great Oaks Charter School,CT,FAIRFIELD COUNTY,BRIDGEPORT,41,-73,510 Barnum Ave.,6608,
1179,340079403457,Middle,3400794,ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,Achievers Early College Prep Charter School,NJ,,TRENTON,40,-75,500 Smith Street,8611,
1180,390443701295,Elementary,3904437,MAYFIELD CITY,Gates Mills Elementary School,OH,CUYAHOGA COUNTY,GATES MILLS,42,-81,7639 Colvin Rd,44040,
1181,120132007960,High,1201320,MONROE,KEY WEST COLLEGIATE SCHOOL,FL,MONROE COUNTY,KEY WEST,25,-82,5901 COLLEGE RD,33040,
1182,400078002874,High,4000780,KIPP (CHARTER),KIPP TULSA UNIVERSITY PREP,OK,,TULSA,36,-96,1661 E VIRGIN ST,74106,
1183,292679001613,High,2926790,ROCK PORT R-II,ROCK PORT HIGH,MO,ATCHISON COUNTY,ROCK PORT,40,-96,600 S NEBRASKA ST,64482,
1184,440001500513,Middle,4400015,BLACKSTONE VALLEY PREP  A RI MAYORAL ACADEMY,Blackstone Valley Prep Mid2,RI,PROVIDENCE COUNTY,LINCOLN,42,-71,3 Fairlawn Way,2865,
1185,180018202619,High,1800182,EXCEL CENTER - CLARKSVILLE,Excel Center - Clarksville,IN,CLARK COUNTY,CLARKSVILLE,38,-86,1329 Applegate Lane,47129,
1186,A0902103,Combined elem/sec,,,TRINITY INTERNATIONAL SCHOOL,NV,CLARK,LAS VEGAS,36,-115,4141 MEADOWS LN,89107,1
1187,280019001448,Middle,2800190,MIDTOWN PUBLIC CHARTER SCHOOL,MIDTOWN PUBLIC CHARTER SCHOOL,MS,HINDS COUNTY,JACKSON,32,-90,301 ADELE ST,39202,
1188,290059003181,High,2900590,FRONTIER SCHOOLS,FRONTIER SCHL OF EXCELLENCE-U,MO,JACKSON COUNTY,KANSAS CITY,39,-95,5605 TROOST AVE,64110,
1189,00030964,Elementary,,,SANTA CRUZ CATHOLIC SCHOOL,AZ,PIMA,TUCSON,32,-111,29 W 22ND ST,85713,1
1190,410192001223,Elementary,4101920,BEAVERTON SD 48J,Oak Hills Elementary School,OR,WASHINGTON COUNTY,BEAVERTON,46,-123,2625 NW 153rd Ave,97006,
1191,172487002696,Middle,1724870,MARSHALL CUSD 2C,Marshall Jr High School,IL,CLARK COUNTY,MARSHALL,39,-88,806 N 6th St,62441,
1192,A0501486,Combined elem/sec,,,CALVARY CHRISTIAN SCHOOL,ID,CANYON,NAMPA,44,-117,1210 N MIDDLETON RD,83651,1
1193,450390101542,High,4503901,SC PUBLIC CHARTER SCHOOL DISTRICT,Palmetto Scholars Academy,SC,CHARLESTON COUNTY,NORTH CHARLESTON,33,-80,7499 Dorchester Road,29418,
1194,A1303148,Elementary,,,EDDLEMON ADVENTIST SCHOOL,SC,SPARTANBURG,SPARTANBURG,35,-82,1217 JOHN B WHITE STATE ROAD BLVD,29306,1
1195,590002000148,High,5900126,NORTHWEST HIGH SCHOOL,Northwest High School,NM,SAN JUAN COUNTY,SHIPROCK,37,-109,P.O. Box 1809,87420,
1196,293222002260,High,2932220,WINONA R-III,WINONA HIGH,MO,SHANNON COUNTY,WINONA,37,-91,8256 State Hwy 19,65588,
1197,00851357,Elementary,,,ST THOMAS AQUINAS SCHOOL,NH,ROCKINGHAM,DERRY,43,-71,3 MOODY ST,3038,1
1198,463448000288,High,4634480,HOT SPRINGS SCHOOL DISTRICT 23-2,Hot Springs High School - 01,SD,FALL RIVER COUNTY,HOT SPRINGS,43,-103,110 N 16th St,57747,
1199,180016902596,High,1800169,EXCEL CENTER - SOUTH BEND,Excel Center - South Bend,IN,ST. JOSEPH COUNTY,SOUTH BEND,42,-86,2721 Kenwood Avenue,46628,
1200,A0103989,Elementary,,,JEWISH PRIMARY DAY SCHOOL/NATIONS CAPITAL,DC,DISTRICT OF COLUMBIA,WASHINGTON,39,-77,6045 16TH ST NW,20011,1
1201,040008301014,High,400083,PORTABLE PRACTICAL EDUCATIONAL PREPARATION INC. ( (4431),PPEP TEC - Alice S. Paul Learning Center,AZ,PINAL COUNTY,CASA GRANDE,33,-112,220 E FLORENCE BLVD,85122,
1202,A9106868,Elementary,,,WESTSIDE SCHOOL,WA,KING,SEATTLE,48,-122,10404 34TH AVE SW,98146,1
1203,340001900269,High,3400019,CHARTERTECH HIGH SCHOOL FOR THE PERFORMING ARTS,Chartertech High School for the Performing Arts,NJ,ATLANTIC COUNTY,SOMERS POINT,39,-75,413 NEW ROAD,8244,
1204,A1303538,Combined elem/sec,,,INSPIRE FOR AUTISM,VT,WINDHAM,BRATTLEBORO,43,-73,130 AUSTINE DR STE 240,5301,1
1205,020018000117,Elementary,200180,ANCHORAGE SCHOOL DISTRICT,Taku Elementary,AK,ANCHORAGE MUNICIPALITY,ANCHORAGE,61,-150,701 E 72nd Ave,99518,
1206,210115000222,Elementary,2101150,CHRISTIAN COUNTY,Crofton Elementary School,KY,CHRISTIAN COUNTY,CROFTON,37,-87,12145 S Madisonville Rd,42217,
1207,560423000215,Middle,5604230,NIOBRARA COUNTY SCHOOL DISTRICT #1,Lusk Middle School,WY,NIOBRARA COUNTY,LUSK,43,-104,425 S. Maple,82225,
1208,440002100495,Elementary,4400021,ACHIEVEMENT FIRST RHODE ISLAND,Achievement First Illuminar,RI,PROVIDENCE COUNTY,PROVIDENCE,42,-71,370 Hartford Avenue,2909,
1209,201074000400,High,2010740,PLAINVILLE,Plainville High,KS,ROOKS COUNTY,PLAINVILLE,39,-99,202 SE Cardinal Avenue,67663,
1210,280063000055,Elementary,2800630,BILOXI PUBLIC SCHOOL DIST,JEFF DAVIS ELEMENTARY SCHOOL,MS,HARRISON COUNTY,BILOXI,30,-89,340 St. Mary Blvd.,39531,
1211,551006003354,Elementary,5510060,MUKWONAGO SCHOOL DISTRICT,Eagleville Charter School,WI,WAUKESHA COUNTY,EAGLE,43,-88,S101W34511 Hwy LO,53119,
1212,173951003998,Elementary,1739510,TROY CCSD 30C,Troy Shorewood School,IL,WILL COUNTY,SHOREWOOD,42,-88,210 School Rd,60404,
1213,350006001043,Elementary,3500060,ALBUQUERQUE PUBLIC SCHOOLS,HELEN CORDERO PRIMARY,NM,BERNALILLO COUNTY,ALBUQUERQUE,35,-107,8800 EUCARIZ SW,87121,
1214,00232009,Elementary,,,TRINITY CATHOLIC MIDDLE,CT,FAIRFIELD,STAMFORD,41,-74,948 NEWFIELD AVE,6905,1
1215,340005200351,Middle,3400052,CLASSICAL ACADEMY CHARTER SCHOOL OF CLIFTON,Classical Academy Charter School of Clifton,NJ,PASSAIC COUNTY,CLIFTON,41,-74,1255 Main Avenue,7011,
1216,A1702723,Elementary,,,ACADEMY AT NEW LIFE,NC,CUMBERLAND,HOPE MILLS,35,-79,PO BOX 622,28348,1
1217,A1701742,Elementary,,,OAK RIDGE SCHOOL,IN,DAVIESS,MONTGOMERY,39,-87,7057 E 300 N,47558,1
1218,400450002665,Middle,4004500,BIXBY,NORTH INTERMEDIATE SCHOOL,OK,TULSA COUNTY,BIXBY,36,-96,6941 East 121st Street South,74008,
1219,A0992047,Combined elem/sec,,,STONEY CREEK MONTESSORI,NC,GUILFORD,WHITSETT,36,-80,6335 DOUBLE EAGLE DR,27377,1
1220,AA000480,Combined elem/sec,,,HARTFORD AREA SDA SCHOOL,CT,HARTFORD,HARTFORD,42,-73,474 WOODLAND ST,6112,1
1221,100153000155,Elementary,1001530,SEAFORD SCHOOL DISTRICT,Seaford Central Elementary School,DE,SUSSEX COUNTY,SEAFORD,39,-76,1 Delaware Place,19973,
1222,462403000202,Elementary,4624030,FAULKTON AREA SCHOOLS 24-4,Faulkton Elementary - 02,SD,FAULK COUNTY,FAULKTON,45,-99,1114 Court St,57438,
1223,A0900023,Elementary,,,EASTMONT BAPTIST KINDERGARTEN,AL,MONTGOMERY,MONTGOMERY,32,-86,4505 ATLANTA HWY,36109,1
1224,464794200429,Elementary,4647942,MILLER 29-4,Miller Elementary - 02,SD,HAND COUNTY,MILLER,45,-99,623 E 4th St,57362,
