,rand_urban_dist,rand_non_urb_dist,leaid,nlscdsch,sch_name,lea_name,lcity,fipst,lstate,cnty,nmcnty,lat,lon,lstreet,lzip,title_one,sch_level,gslo,gshi,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,school_sample
1349,,6.0,4022620,402262001107,OKAY HS,OKAY,OKAY,40,OK,40145,WAGONER COUNTY,35.864752,-95.306167,8611 N  49th Street East,74446,1.0,High,9,12,,,,,,,,,34.0,27.0,26.0,36.0,1
1350,,7.0,4032400,403240001794,WESTVILLE ES,WESTVILLE,WESTVILLE,40,OK,40001,ADAIR COUNTY,35.988668,-94.572188,500 W Chincapin,74965,1.0,Elementary,PK,6,72.0,67.0,78.0,86.0,98.0,80.0,,,,,,,1
1351,,7.0,4032400,403240001795,WESTVILLE JHS,WESTVILLE,WESTVILLE,40,OK,40001,ADAIR COUNTY,35.989235,-94.573461,500 W Chincapin,74965,1.0,Middle,7,8,,,,,,,88.0,83.0,,,,,1
1352,,7.0,4032400,403240029611,WESTVILLE HS,WESTVILLE,WESTVILLE,40,OK,40001,ADAIR COUNTY,35.988388,-94.57318199999999,500 W Chincapin,74965,1.0,High,9,12,,,,,,,,,85.0,114.0,80.0,76.0,1
1353,,8.0,2101920,210192000397,Simons Middle School,FLEMING COUNTY,FLEMINGSBURG,21,KY,21069,FLEMING COUNTY,38.426185,-83.736548,242 W Water St,41041,1.0,Middle,7,8,,,,,,,155.0,172.0,,,,,1
1354,,8.0,2101920,210192000401,Hillsboro Elementary School,FLEMING COUNTY,HILLSBORO,21,KY,21069,FLEMING COUNTY,38.2966,-83.658151,7348 Hillsboro Rd,41049,1.0,Elementary,PK,6,18.0,25.0,29.0,22.0,31.0,26.0,,,,,,,1
1357,,8.0,2101920,210192000396,Ewing Elementary School,FLEMING COUNTY,EWING,21,KY,21069,FLEMING COUNTY,38.41557,-83.836671,5651 Elizaville Rd.,41039,1.0,Elementary,PK,6,49.0,42.0,39.0,42.0,43.0,38.0,,,,,,,1
1358,,8.0,2101920,210192000398,Fleming County High School,FLEMING COUNTY,FLEMINGSBURG,21,KY,21069,FLEMING COUNTY,38.422045000000004,-83.764113,1658 Elizaville Rd,41041,1.0,High,9,12,,,,,,,,,196.0,177.0,162.0,177.0,1
1359,,9.0,2930720,293072002118,CALEDONIA ELEM.,VALLEY R-VI,CALEDONIA,29,MO,29221,WASHINGTON COUNTY,37.777436,-90.780252,1 VIKING DR,63631,1.0,Elementary,KG,6,25.0,28.0,31.0,21.0,36.0,35.0,,,,,,,1
1361,,9.0,2930720,293072002119,VALLEY HIGH,VALLEY R-VI,CALEDONIA,29,MO,29221,WASHINGTON COUNTY,37.777357,-90.780213,1 VIKING DR,63631,1.0,High,7,12,,,,,,,33.0,25.0,39.0,34.0,36.0,27.0,1
1366,,10.0,601710,60171000038,Adelanto Elementary,ADELANTO ELEMENTARY,ADELANTO,6,CA,6071,SAN BERNARDINO COUNTY,34.575798999999996,-117.40875700000001,17931 Jonathan St.,92301,1.0,Elementary,KG,5,59.0,70.0,56.0,67.0,54.0,,,,,,,,1
1367,,10.0,601710,60171013994,Melva Davis Academy of Excellence,ADELANTO ELEMENTARY,VICTORVILLE,6,CA,6071,SAN BERNARDINO COUNTY,34.53669,-117.375978,15831 Diamond Rd.,92394,1.0,Middle,6,8,,,,,,286.0,315.0,229.0,,,,,1
1370,,10.0,601710,60171008288,Mesa Linda Middle,ADELANTO ELEMENTARY,VICTORVILLE,6,CA,6071,SAN BERNARDINO COUNTY,34.485658,-117.38968500000001,13001 Mesa Linda Rd.,92392,1.0,Middle,6,8,,,,,,271.0,295.0,317.0,,,,,1
1373,,10.0,601710,60171009690,Eagle Ranch Elementary,ADELANTO ELEMENTARY,ADELANTO,6,CA,6071,SAN BERNARDINO COUNTY,34.478747999999996,-117.38875,12545 Eagle Ranch Pkwy.,92301,1.0,Elementary,KG,5,109.0,102.0,112.0,114.0,113.0,,,,,,,,1
